indeed_会社名,業種,会社名,郵便番号,住所,URL,電話番号,フリーダイヤル,bizmapsで得たURLからの電話番号なら1 junumberからの電話番号なら2
株式会社アイエスエフネット,IT エンジニア 外国人,株式会社アイエスエフネット,,東京都港区赤坂8丁目4-14,,03-5786-2300,,2
株式会社iRup,IT エンジニア 外国人,,,,,,,
株式会社メディアベース,IT エンジニア 外国人,メディアベース株式会社,150-0036,東京都渋谷区南平台町16-29グリーン南平台ビル3階,https://www.mediabase.co.jp/,03-3464-9501,,1
アスノシステム株式会社,IT エンジニア 外国人,アスノシステム株式会社,108-0074,東京都港区高輪二丁目16番37号 高輪JEBL2階,http://www.asno-sys.co.jp/,03-5798-7780,,1
MakeCareer,IT エンジニア 外国人,,,,,,,
株式会社テックビズ,IT エンジニア 外国人,株式会社ＮＫＣＡＳＩＡ,150-0022,東京都渋谷区恵比寿南1-1-1 ヒューマックス恵比寿ビル3F,https://www.nkc-asia.com/,03-6303-0915,,1
(株)N2テクノロジーズ,IT エンジニア 外国人,,,,,,,
CLINKS株式会社,IT エンジニア 外国人,ＣＬＩＮＫＳ株式会社,104-0032,東京都中央区八丁堀1-10-7 TMG八丁堀ビル10F,http://www.clinks.jp/,,,1
株式会社アーデントスタッフ,IT エンジニア 外国人,株式会社アーデントスタッフ,221-0835,神奈川県横浜市神奈川区鶴屋町3-32-13 第二安田ビル 2F,http://www.ardent-staff.com/index.html,045-329-7200,,1
有限会社ユニバーサル・シェル・プログラミング研究所,IT エンジニア 外国人,有限会社ユニバーサル・シェル・プログラミング研究所,105-0003,東京都港区西新橋3-3-3 ペリカンビル3F,https://www.usp-lab.com/index.html,,,1
大成ネット株式会社,IT エンジニア 外国人,大成ネット株式会社,105-0012,東京都港区芝大門1丁目10－11 芝大門センタービル4階,http://www.taiseinet.com/,03-5408-8566,,1
株式会社金鱗ソリューション,IT エンジニア 外国人,,,,,,,
株式会社アイデム Career Agent Group,IT エンジニア 外国人,,,,,,,
ピーシーネット株式会社,IT エンジニア 外国人,ピーシーネット株式会社,,東京都港区浜松町1-30-5浜松町スクエアStudio 1407,,03-5468-7478,,2
株式会社OTSL,IT エンジニア 外国人,株式会社ＯＴＳＬ,461-0001,愛知県名古屋市東区泉1-21-27 泉ファーストスクエア6F,http://www.otsl.jp/,052-961-1010,,1
アスプローバ株式会社,IT エンジニア 外国人,アスプローバ株式会社,,東京都品川区平塚２丁目５－８,,03-5498-7071,,2
株式会社E-Safenet,IT エンジニア 外国人,株式会社Ｅ－Ｓａｆｅｎｅｔ,104-0041,東京都中央区新富1-17-1宮倉ビル5F,http://www.esafenet.co.jp/,03-5542-0591,,1
ビズコール株式会社,IT エンジニア 外国人,ビズコール株式会社,270-0027,千葉県松戸市二ツ木1264番地の4,http://www.busicall.co.jp/,070-5075-0841,,1
ネクスト・ムーブ 株式会社,IT エンジニア 外国人,,,,,,,
日本E購株式会社,IT エンジニア 外国人,,,,,,,
151A NEIGHBORS Co Ltd,IT エンジニア 外国人,,,,,,,
サクラインターナショナル株式会社,IT エンジニア 外国人,サクラインターナショナル株式会社,,東京都江東区門前仲町2丁目5-9,,03-5646-1160,,2
株式会社BIZAZ,IT エンジニア 外国人,,,,,,,
インタセクト・コミュニケーションズ株式会社,IT エンジニア 外国人,インタセクト・コミュニケーションズ株式会社,,東京都千代田区神田小川町３－１,,03-3233-3525,,2
日中ブリッジ株式会社,IT エンジニア 外国人,日中ブリッジ株式会社,101-0024,東京都千代田区神田和泉町1－13－15　住友商事神田和泉町ビル ４階,https://www.jcbridge.co.jp/,03-5823-4734,,1
株式会社エル・ティー・エス,IT エンジニア 外国人,株式会社エル・ティー・エス,107-0051,東京都港区元赤坂1丁目3-13 赤坂センタービルディング 14階,https://lt-s.jp/,03-3746-5870,,1
株式会社アクティブ・ワーク,IT エンジニア 外国人,株式会社アクティブ・ワーク,101-0032,東京都千代田区岩本町3丁目4番6号トナカイタワーズ,https://www.active.co.jp/,03-3861-3591,,1
株式会社ミクシィ,IT エンジニア 外国人,株式会社ミクシィ,,東京都渋谷区東1-2-20 住友不動産渋谷ファーストタワー7階,,03-5738-6647,,2
クリエート合同会社,IT エンジニア 外国人,株式会社クリエート,180-0014,東京都武蔵野市関前5-11-19,http://www.create-golf.co.jp/,0422-54-4040,,1
株式会社ゼネット,IT エンジニア 外国人,株式会社ゼネット,171-0022,東京都豊島区南池袋2丁目30番17号朝日生命南池袋ビル2F,https://www.zenet-web.co.jp/,03-5979-1621,,1
三谷産業株式会社,IT エンジニア 外国人,三谷産業株式会社,,東京都中央区築地6丁目19-20,,03-5551-0200,,2
株式会社プロフェース・システムズ,IT エンジニア 外国人,株式会社プロフェース・システムズ,103-0015,東京都中央区日本橋箱崎町18番11号COSMO8-4階,http://www.proface-sys.com/,03-5643-7768,,1
株式会社フルーク,IT エンジニア 外国人,株式会社フルーク／営業部,,東京都港区芝大門2丁目2-11,,03-3434-0181,,2
FutureRays株式会社,IT エンジニア 外国人,ＦｕｔｕｒｅＲａｙｓ株式会社,530-0047,大阪府大阪市北区西天満2-8-1 大江ビルヂング217号室,http://bemac-fr.com/,,,1
株式会社PKUTECH,IT エンジニア 外国人,株式会社大翔工業,982-0032,宮城県仙台市太白区富沢3丁目25番23-103号,https://taigakougyou.com/,,,
ファインディ株式会社,IT エンジニア 外国人,ファインディ株式会社,141-0001,東京都品川区北品川6-7-29 ガーデンシティ品川御殿山5階,https://findy.co.jp/,,,1
無限テック合同会社,IT エンジニア 外国人,無限テック合同会社,121-0816,東京都足立区梅島2-38-8竹の家ビル3F,https://mugentec.co.jp/,03-6823-2988,,1
ランスタッド株式会社 エンジニア事業部 新宿支店,IT エンジニア 外国人,,,,,,,
株式会社サンシーア,IT エンジニア 外国人,株式会社サンシーア,160-0023,東京都新宿区西新宿4-15-7 パシフィックマークス新宿パークサイド３F,https://www.sunseer.co.jp/company/,03-6280-7380,,1
株式会社ネットラーニングホールディングス,IT エンジニア 外国人,株式会社ネットラーニングホールディングス,160-0023,東京都新宿区西新宿7-2-4 新宿喜楓ビル3F,https://www.nl-hd.com/,03-5338-9411,,1
株式会社インゲーム,IT エンジニア 外国人,株式会社インゲーム,163-1304,東京都新宿区西新宿6-5-1新宿アイランドタワー４階,http://www.ingame.jp/,,,1
株式会社スキルコネクト,IT エンジニア 外国人,株式会社スキルコネクト,170-0022,東京都豊島区南池袋2丁目27番8号 南水ビル 9階,https://www.skill-c.co.jp/,03-6912-7397,,1
ユニアデックス株式会社,IT エンジニア 外国人,ユニアデックス株式会社,,東京都江東区豊洲1丁目1-1,,03-5546-4900,,2
ユナイテッドワールド株式会社,IT エンジニア 外国人,,,,,,,
BATジャパン,IT エンジニア 外国人,,,,,,,
アドソル日進株式会社,IT エンジニア 外国人,アドソル日進株式会社,,東京都港区港南4丁目1-8,,03-5796-3131,,2
NECフィールディング株式会社,IT エンジニア 外国人,NECフィールディング株式会社,,東京都港区三田1丁目4-28,,03-3457-7101,,2
NSSLCサービス株式会社,IT エンジニア 外国人,ＮＳＳＬＣサービス株式会社,104-0033,東京都中央区新川二丁目27-1 東京住友ツインビル東館,https://www.nssol.nipponsteel.com/nsslc/,,,1
株式会社ワールドスカイ,IT エンジニア 外国人,株式会社ワールドスカイ,104-0033,東京都中央区新川1-3-3 グリーンオーク茅場町7階,http://www.worldskyjp.com/,03-5213-4525,,1
株式会社Recrea,IT エンジニア 外国人,Ｒｅｃｒｅａｔｏｒ合同会社,104-0054,東京都 中央区 勝どき 5-3-1,https://airstair.jp/recreatorllc/,,,1
グリーグループ_DX事業,IT エンジニア 外国人,,,,,,,
株式会社 テイクス 池袋事業所,IT エンジニア 外国人,,,,,,,
ALH株式会社,IT エンジニア 外国人,ＡＬＨ株式会社,153-0063,東京都目黒区目黒 1-24-12 オリックス目黒ビル 5F(受付)/8F,https://www.alhinc.jp/,03-3779-4482,,1
Meeting BASE 東京都中野区エリア,IT エンジニア 外国人,,,,,,,
凸版印刷株式会社,IT エンジニア 外国人,凸版印刷株式会社 本社,,東京都台東区台東1丁目5-1,,03-3835-5111,,2
株式会社ケネス,IT エンジニア 外国人,株式会社ケネス,101-0032,東京都千代田区岩本町2丁目4番1号神田岩本町プラザビル8階,http://www.kenes.co.jp/index.html,03-6803-2955,,1
株式会社 仲心,IT エンジニア 外国人,株式会社仲心,720-0092,広島県福山市山手町4丁目5-22 1階,http://www.nakashin-co.jp/,084-961-3779,,1
タカコーホールディングス株式会社,IT エンジニア 外国人,,,,,,,
Meeting BASE 東京都調布市エリア,IT エンジニア 外国人,,,,,,,
